stateFIPS,State,censusTract,County,Census Tract,Year,Value
17,Illinois,17025972100,Clay,17025972100,2013-2017,34.70%
17,Illinois,17025972200,Clay,17025972200,2013-2017,33.20%
17,Illinois,17027900100,Clinton,17027900100,2013-2017,25.60%
17,Illinois,17027900200,Clinton,17027900200,2013-2017,25.20%
17,Illinois,17027900300,Clinton,17027900300,2013-2017,24.90%
17,Illinois,17027900401,Clinton,17027900401,2013-2017,15.40%
17,Illinois,17027900402,Clinton,17027900402,2013-2017,31.70%
17,Illinois,17027900500,Clinton,17027900500,2013-2017,23.00%
17,Illinois,17027900601,Clinton,17027900601,2013-2017,22.30%
17,Illinois,17027900602,Clinton,17027900602,2013-2017,19.80%
17,Illinois,17029000100,Coles,17029000100,2013-2017,23.60%
17,Illinois,17029000200,Coles,17029000200,2013-2017,24.20%
17,Illinois,17029000300,Coles,17029000300,2013-2017,25.10%
17,Illinois,17029000400,Coles,17029000400,2013-2017,16.70%
17,Illinois,17029000500,Coles,17029000500,2013-2017,23.40%
17,Illinois,17029000600,Coles,17029000600,2013-2017,32.30%
17,Illinois,17029000700,Coles,17029000700,2013-2017,37.40%
17,Illinois,17029000800,Coles,17029000800,2013-2017,18.20%
17,Illinois,17029000900,Coles,17029000900,2013-2017,18.10%
17,Illinois,17029001000,Coles,17029001000,2013-2017,38.90%
17,Illinois,17029001100,Coles,17029001100,2013-2017,20.90%
17,Illinois,17029001200,Coles,17029001200,2013-2017,28.50%
17,Illinois,17031010100,Cook,17031010100,2013-2017,20.80%
17,Illinois,17031010201,Cook,17031010201,2013-2017,21.20%
17,Illinois,17031010202,Cook,17031010202,2013-2017,25.80%
17,Illinois,17031010300,Cook,17031010300,2013-2017,34.10%
17,Illinois,17031010400,Cook,17031010400,2013-2017,42.80%
17,Illinois,17031010501,Cook,17031010501,2013-2017,30.40%
17,Illinois,17031010502,Cook,17031010502,2013-2017,29.70%
17,Illinois,17031010503,Cook,17031010503,2013-2017,46.10%
17,Illinois,17031010600,Cook,17031010600,2013-2017,20.20%
17,Illinois,17031010701,Cook,17031010701,2013-2017,30.70%
17,Illinois,17031010702,Cook,17031010702,2013-2017,27.60%
17,Illinois,17031020100,Cook,17031020100,2013-2017,36.80%
17,Illinois,17031020200,Cook,17031020200,2013-2017,39.90%
17,Illinois,17031020301,Cook,17031020301,2013-2017,26.90%
17,Illinois,17031020302,Cook,17031020302,2013-2017,37.00%
17,Illinois,17031020400,Cook,17031020400,2013-2017,28.60%
17,Illinois,17031020500,Cook,17031020500,2013-2017,40.80%
17,Illinois,17031020601,Cook,17031020601,2013-2017,32.90%
17,Illinois,17031020602,Cook,17031020602,2013-2017,38.90%
17,Illinois,17031020701,Cook,17031020701,2013-2017,31.60%
17,Illinois,17031020702,Cook,17031020702,2013-2017,34.00%
17,Illinois,17031020801,Cook,17031020801,2013-2017,30.30%
17,Illinois,17031020802,Cook,17031020802,2013-2017,46.30%
17,Illinois,17031020901,Cook,17031020901,2013-2017,50.60%
17,Illinois,17031020902,Cook,17031020902,2013-2017,37.90%
17,Illinois,17031030101,Cook,17031030101,2013-2017,32.40%
17,Illinois,17031030102,Cook,17031030102,2013-2017,41.60%
17,Illinois,17031030103,Cook,17031030103,2013-2017,41.40%
17,Illinois,17031030104,Cook,17031030104,2013-2017,32.00%
17,Illinois,17031030200,Cook,17031030200,2013-2017,29.00%
17,Illinois,17031030300,Cook,17031030300,2013-2017,33.30%
17,Illinois,17031030400,Cook,17031030400,2013-2017,28.20%
17,Illinois,17031030500,Cook,17031030500,2013-2017,27.40%
17,Illinois,17031030601,Cook,17031030601,2013-2017,45.10%
17,Illinois,17031030603,Cook,17031030603,2013-2017,37.90%
17,Illinois,17031030604,Cook,17031030604,2013-2017,39.00%
17,Illinois,17031030701,Cook,17031030701,2013-2017,41.90%
17,Illinois,17031030702,Cook,17031030702,2013-2017,28.30%
17,Illinois,17031030703,Cook,17031030703,2013-2017,44.00%
17,Illinois,17031030706,Cook,17031030706,2013-2017,45.70%
17,Illinois,17031030800,Cook,17031030800,2013-2017,38.90%
17,Illinois,17031030900,Cook,17031030900,2013-2017,25.30%
17,Illinois,17031031000,Cook,17031031000,2013-2017,43.90%
17,Illinois,17031031100,Cook,17031031100,2013-2017,30.90%
17,Illinois,17031031200,Cook,17031031200,2013-2017,46.00%
17,Illinois,17031031300,Cook,17031031300,2013-2017,34.20%
17,Illinois,17031031400,Cook,17031031400,2013-2017,30.10%
17,Illinois,17031031501,Cook,17031031501,2013-2017,31.40%
17,Illinois,17031031502,Cook,17031031502,2013-2017,27.40%
17,Illinois,17031031700,Cook,17031031700,2013-2017,34.20%
17,Illinois,17031031800,Cook,17031031800,2013-2017,22.90%
17,Illinois,17031031900,Cook,17031031900,2013-2017,32.60%
17,Illinois,17031032100,Cook,17031032100,2013-2017,22.10%
17,Illinois,17031040100,Cook,17031040100,2013-2017,34.60%
17,Illinois,17031040201,Cook,17031040201,2013-2017,32.10%
17,Illinois,17031040202,Cook,17031040202,2013-2017,31.10%
17,Illinois,17031040300,Cook,17031040300,2013-2017,26.80%
17,Illinois,17031040401,Cook,17031040401,2013-2017,25.90%
17,Illinois,17031040402,Cook,17031040402,2013-2017,39.00%
17,Illinois,17031040600,Cook,17031040600,2013-2017,42.30%
17,Illinois,17031040700,Cook,17031040700,2013-2017,22.40%
17,Illinois,17031040800,Cook,17031040800,2013-2017,29.30%
17,Illinois,17031040900,Cook,17031040900,2013-2017,24.20%
17,Illinois,17031050100,Cook,17031050100,2013-2017,21.70%
17,Illinois,17031050200,Cook,17031050200,2013-2017,38.00%
17,Illinois,17031050300,Cook,17031050300,2013-2017,43.70%
17,Illinois,17031050500,Cook,17031050500,2013-2017,40.80%
17,Illinois,17031050600,Cook,17031050600,2013-2017,21.70%
17,Illinois,17031050700,Cook,17031050700,2013-2017,27.30%
17,Illinois,17031050800,Cook,17031050800,2013-2017,23.10%
17,Illinois,17031050900,Cook,17031050900,2013-2017,25.90%
17,Illinois,17031051000,Cook,17031051000,2013-2017,22.80%
17,Illinois,17031051100,Cook,17031051100,2013-2017,19.20%
17,Illinois,17031051200,Cook,17031051200,2013-2017,22.30%
17,Illinois,17031051300,Cook,17031051300,2013-2017,28.40%
17,Illinois,17031051400,Cook,17031051400,2013-2017,20.50%
17,Illinois,17031060100,Cook,17031060100,2013-2017,30.10%
17,Illinois,17031060200,Cook,17031060200,2013-2017,25.00%
17,Illinois,17031060300,Cook,17031060300,2013-2017,20.60%
17,Illinois,17031060400,Cook,17031060400,2013-2017,29.80%
17,Illinois,17031060500,Cook,17031060500,2013-2017,28.20%
17,Illinois,17031060800,Cook,17031060800,2013-2017,23.80%
17,Illinois,17031060900,Cook,17031060900,2013-2017,36.90%
17,Illinois,17031061000,Cook,17031061000,2013-2017,23.20%
17,Illinois,17031061100,Cook,17031061100,2013-2017,32.70%
17,Illinois,17031061200,Cook,17031061200,2013-2017,33.70%
17,Illinois,17031061500,Cook,17031061500,2013-2017,25.50%
17,Illinois,17031061800,Cook,17031061800,2013-2017,39.60%
17,Illinois,17031061901,Cook,17031061901,2013-2017,26.50%
17,Illinois,17031061902,Cook,17031061902,2013-2017,37.40%
17,Illinois,17031062000,Cook,17031062000,2013-2017,22.00%
17,Illinois,17031062100,Cook,17031062100,2013-2017,29.20%
17,Illinois,17031062200,Cook,17031062200,2013-2017,28.60%
17,Illinois,17031062300,Cook,17031062300,2013-2017,28.90%
17,Illinois,17031062400,Cook,17031062400,2013-2017,32.70%
17,Illinois,17031062500,Cook,17031062500,2013-2017,25.00%
17,Illinois,17031062600,Cook,17031062600,2013-2017,28.60%
17,Illinois,17031062700,Cook,17031062700,2013-2017,13.80%
17,Illinois,17031062800,Cook,17031062800,2013-2017,27.70%
17,Illinois,17031062900,Cook,17031062900,2013-2017,30.30%
17,Illinois,17031063000,Cook,17031063000,2013-2017,22.20%
17,Illinois,17031063100,Cook,17031063100,2013-2017,32.90%
17,Illinois,17031063200,Cook,17031063200,2013-2017,27.40%
17,Illinois,17031063301,Cook,17031063301,2013-2017,24.10%
17,Illinois,17031063302,Cook,17031063302,2013-2017,24.90%
17,Illinois,17031063303,Cook,17031063303,2013-2017,26.40%
17,Illinois,17031063400,Cook,17031063400,2013-2017,17.50%
17,Illinois,17031070101,Cook,17031070101,2013-2017,24.90%
17,Illinois,17031070102,Cook,17031070102,2013-2017,28.40%
17,Illinois,17031070103,Cook,17031070103,2013-2017,45.60%
17,Illinois,17031070200,Cook,17031070200,2013-2017,26.30%
17,Illinois,17031070300,Cook,17031070300,2013-2017,26.70%
17,Illinois,17031070400,Cook,17031070400,2013-2017,22.90%
17,Illinois,17031070500,Cook,17031070500,2013-2017,18.10%
17,Illinois,17031070600,Cook,17031070600,2013-2017,22.40%
17,Illinois,17031070700,Cook,17031070700,2013-2017,27.90%
17,Illinois,17031071000,Cook,17031071000,2013-2017,33.30%
17,Illinois,17031071100,Cook,17031071100,2013-2017,37.30%
17,Illinois,17031071200,Cook,17031071200,2013-2017,24.60%
17,Illinois,17031071300,Cook,17031071300,2013-2017,26.40%
17,Illinois,17031071400,Cook,17031071400,2013-2017,21.90%
17,Illinois,17031071500,Cook,17031071500,2013-2017,24.90%
17,Illinois,17031071600,Cook,17031071600,2013-2017,18.80%
17,Illinois,17031071700,Cook,17031071700,2013-2017,11.30%
17,Illinois,17031071800,Cook,17031071800,2013-2017,28.90%
17,Illinois,17031080100,Cook,17031080100,2013-2017,22.50%
17,Illinois,17031080201,Cook,17031080201,2013-2017,30.90%
17,Illinois,17031080202,Cook,17031080202,2013-2017,25.20%
17,Illinois,17031080300,Cook,17031080300,2013-2017,35.80%
17,Illinois,17031080400,Cook,17031080400,2013-2017,32.10%
17,Illinois,17031081000,Cook,17031081000,2013-2017,15.50%
17,Illinois,17031081100,Cook,17031081100,2013-2017,15.20%
17,Illinois,17031081201,Cook,17031081201,2013-2017,20.70%
17,Illinois,17031081202,Cook,17031081202,2013-2017,25.00%
17,Illinois,17031081300,Cook,17031081300,2013-2017,28.30%
17,Illinois,17031081401,Cook,17031081401,2013-2017,24.60%
17,Illinois,17031081402,Cook,17031081402,2013-2017,22.90%
17,Illinois,17031081403,Cook,17031081403,2013-2017,23.70%
17,Illinois,17031081500,Cook,17031081500,2013-2017,22.30%
17,Illinois,17031081600,Cook,17031081600,2013-2017,23.90%
17,Illinois,17031081700,Cook,17031081700,2013-2017,25.00%
17,Illinois,17031081800,Cook,17031081800,2013-2017,21.40%
17,Illinois,17031081900,Cook,17031081900,2013-2017,12.50%
17,Illinois,17031090100,Cook,17031090100,2013-2017,25.20%
17,Illinois,17031090200,Cook,17031090200,2013-2017,29.80%
17,Illinois,17031090300,Cook,17031090300,2013-2017,26.60%
17,Illinois,17031100100,Cook,17031100100,2013-2017,24.90%
17,Illinois,17031100200,Cook,17031100200,2013-2017,22.90%
17,Illinois,17031100300,Cook,17031100300,2013-2017,23.20%
17,Illinois,17031100400,Cook,17031100400,2013-2017,39.20%
17,Illinois,17031100500,Cook,17031100500,2013-2017,26.70%
17,Illinois,17031100600,Cook,17031100600,2013-2017,29.50%
17,Illinois,17031100700,Cook,17031100700,2013-2017,29.50%
17,Illinois,17031110100,Cook,17031110100,2013-2017,34.90%
17,Illinois,17031110200,Cook,17031110200,2013-2017,29.50%
17,Illinois,17031110300,Cook,17031110300,2013-2017,24.50%
17,Illinois,17031110400,Cook,17031110400,2013-2017,31.10%
17,Illinois,17031110501,Cook,17031110501,2013-2017,28.30%
17,Illinois,17031110502,Cook,17031110502,2013-2017,27.80%
17,Illinois,17031120100,Cook,17031120100,2013-2017,25.00%
17,Illinois,17031120200,Cook,17031120200,2013-2017,31.70%
17,Illinois,17031120300,Cook,17031120300,2013-2017,30.80%
17,Illinois,17031120400,Cook,17031120400,2013-2017,23.00%
17,Illinois,17031130100,Cook,17031130100,2013-2017,28.80%
17,Illinois,17031130200,Cook,17031130200,2013-2017,24.70%
17,Illinois,17031130300,Cook,17031130300,2013-2017,45.80%
17,Illinois,17031140100,Cook,17031140100,2013-2017,19.10%
17,Illinois,17031140200,Cook,17031140200,2013-2017,18.80%
17,Illinois,17031140301,Cook,17031140301,2013-2017,24.00%
17,Illinois,17031140302,Cook,17031140302,2013-2017,23.10%
17,Illinois,17031140400,Cook,17031140400,2013-2017,28.70%
17,Illinois,17031140500,Cook,17031140500,2013-2017,15.90%
17,Illinois,17031140601,Cook,17031140601,2013-2017,32.10%
17,Illinois,17031140602,Cook,17031140602,2013-2017,39.20%
17,Illinois,17031140701,Cook,17031140701,2013-2017,25.60%
17,Illinois,17031140702,Cook,17031140702,2013-2017,27.20%
17,Illinois,17031140800,Cook,17031140800,2013-2017,30.20%
17,Illinois,17031150200,Cook,17031150200,2013-2017,21.90%
17,Illinois,17031150300,Cook,17031150300,2013-2017,26.20%
17,Illinois,17031150401,Cook,17031150401,2013-2017,43.30%
17,Illinois,17031150402,Cook,17031150402,2013-2017,38.50%
17,Illinois,17031150501,Cook,17031150501,2013-2017,42.90%
17,Illinois,17031150502,Cook,17031150502,2013-2017,27.20%
17,Illinois,17031150600,Cook,17031150600,2013-2017,25.40%
17,Illinois,17031150700,Cook,17031150700,2013-2017,49.20%
17,Illinois,17031150800,Cook,17031150800,2013-2017,33.40%
17,Illinois,17031151001,Cook,17031151001,2013-2017,36.30%
17,Illinois,17031151002,Cook,17031151002,2013-2017,37.80%
17,Illinois,17031151100,Cook,17031151100,2013-2017,43.30%
17,Illinois,17031151200,Cook,17031151200,2013-2017,27.50%
17,Illinois,17031160100,Cook,17031160100,2013-2017,43.10%
17,Illinois,17031160200,Cook,17031160200,2013-2017,29.90%
17,Illinois,17031160300,Cook,17031160300,2013-2017,28.60%
17,Illinois,17031160400,Cook,17031160400,2013-2017,35.80%
17,Illinois,17031160501,Cook,17031160501,2013-2017,32.80%
17,Illinois,17031160502,Cook,17031160502,2013-2017,37.00%
17,Illinois,17031160601,Cook,17031160601,2013-2017,27.90%
17,Illinois,17031160602,Cook,17031160602,2013-2017,37.30%
17,Illinois,17031160700,Cook,17031160700,2013-2017,28.20%
17,Illinois,17031160800,Cook,17031160800,2013-2017,36.50%
17,Illinois,17031160900,Cook,17031160900,2013-2017,32.70%
17,Illinois,17031161000,Cook,17031161000,2013-2017,33.30%
17,Illinois,17031161100,Cook,17031161100,2013-2017,21.30%
17,Illinois,17031161200,Cook,17031161200,2013-2017,38.40%
17,Illinois,17031161300,Cook,17031161300,2013-2017,41.00%
17,Illinois,17031170100,Cook,17031170100,2013-2017,34.70%
17,Illinois,17031170200,Cook,17031170200,2013-2017,40.10%
17,Illinois,17031170300,Cook,17031170300,2013-2017,37.70%
17,Illinois,17031170400,Cook,17031170400,2013-2017,43.90%
17,Illinois,17031170500,Cook,17031170500,2013-2017,44.20%
17,Illinois,17031170600,Cook,17031170600,2013-2017,27.80%
17,Illinois,17031170700,Cook,17031170700,2013-2017,33.50%
17,Illinois,17031170800,Cook,17031170800,2013-2017,42.00%
17,Illinois,17031170900,Cook,17031170900,2013-2017,49.70%
17,Illinois,17031171000,Cook,17031171000,2013-2017,37.60%
17,Illinois,17031171100,Cook,17031171100,2013-2017,32.10%
17,Illinois,17031180100,Cook,17031180100,2013-2017,33.30%
17,Illinois,17031190100,Cook,17031190100,2013-2017,32.10%
17,Illinois,17031190200,Cook,17031190200,2013-2017,28.00%
17,Illinois,17031190300,Cook,17031190300,2013-2017,26.80%
17,Illinois,17031190401,Cook,17031190401,2013-2017,32.30%
17,Illinois,17031190402,Cook,17031190402,2013-2017,36.20%
17,Illinois,17031190601,Cook,17031190601,2013-2017,20.90%
17,Illinois,17031190602,Cook,17031190602,2013-2017,29.40%
17,Illinois,17031190701,Cook,17031190701,2013-2017,43.90%
17,Illinois,17031190702,Cook,17031190702,2013-2017,34.10%
17,Illinois,17031190800,Cook,17031190800,2013-2017,24.20%
17,Illinois,17031190900,Cook,17031190900,2013-2017,25.20%
17,Illinois,17031191000,Cook,17031191000,2013-2017,27.60%
17,Illinois,17031191100,Cook,17031191100,2013-2017,34.50%
17,Illinois,17031191200,Cook,17031191200,2013-2017,28.00%
17,Illinois,17031191301,Cook,17031191301,2013-2017,47.10%
17,Illinois,17031191302,Cook,17031191302,2013-2017,38.50%
17,Illinois,17031200100,Cook,17031200100,2013-2017,40.70%
17,Illinois,17031200200,Cook,17031200200,2013-2017,32.60%
17,Illinois,17031200300,Cook,17031200300,2013-2017,32.10%
17,Illinois,17031200401,Cook,17031200401,2013-2017,34.70%
17,Illinois,17031200402,Cook,17031200402,2013-2017,50.60%
17,Illinois,17031210100,Cook,17031210100,2013-2017,25.40%
17,Illinois,17031210400,Cook,17031210400,2013-2017,38.60%
17,Illinois,17031210501,Cook,17031210501,2013-2017,34.80%
17,Illinois,17031210502,Cook,17031210502,2013-2017,31.00%
17,Illinois,17031210601,Cook,17031210601,2013-2017,39.00%
17,Illinois,17031210602,Cook,17031210602,2013-2017,28.40%
17,Illinois,17031210700,Cook,17031210700,2013-2017,26.30%
17,Illinois,17031210800,Cook,17031210800,2013-2017,36.80%
17,Illinois,17031210900,Cook,17031210900,2013-2017,29.00%
17,Illinois,17031220300,Cook,17031220300,2013-2017,25.60%
17,Illinois,17031220400,Cook,17031220400,2013-2017,23.90%
17,Illinois,17031220500,Cook,17031220500,2013-2017,26.30%
17,Illinois,17031220601,Cook,17031220601,2013-2017,23.50%
17,Illinois,17031220602,Cook,17031220602,2013-2017,20.90%
17,Illinois,17031220701,Cook,17031220701,2013-2017,23.00%
17,Illinois,17031220702,Cook,17031220702,2013-2017,29.20%
17,Illinois,17031220901,Cook,17031220901,2013-2017,24.40%
17,Illinois,17031220902,Cook,17031220902,2013-2017,26.30%
17,Illinois,17031221000,Cook,17031221000,2013-2017,34.40%
17,Illinois,17031221100,Cook,17031221100,2013-2017,22.60%
17,Illinois,17031221200,Cook,17031221200,2013-2017,34.90%
17,Illinois,17031221300,Cook,17031221300,2013-2017,24.30%
17,Illinois,17031221400,Cook,17031221400,2013-2017,31.10%
17,Illinois,17031221500,Cook,17031221500,2013-2017,24.20%
17,Illinois,17031221600,Cook,17031221600,2013-2017,20.10%
17,Illinois,17031222200,Cook,17031222200,2013-2017,27.20%
17,Illinois,17031222500,Cook,17031222500,2013-2017,38.10%
17,Illinois,17031222600,Cook,17031222600,2013-2017,20.60%
17,Illinois,17031222700,Cook,17031222700,2013-2017,34.20%
17,Illinois,17031222800,Cook,17031222800,2013-2017,42.40%
17,Illinois,17031222900,Cook,17031222900,2013-2017,29.30%
17,Illinois,17031230100,Cook,17031230100,2013-2017,25.40%
17,Illinois,17031230200,Cook,17031230200,2013-2017,31.30%
17,Illinois,17031230300,Cook,17031230300,2013-2017,19.10%
17,Illinois,17031230400,Cook,17031230400,2013-2017,31.40%
17,Illinois,17031230500,Cook,17031230500,2013-2017,35.50%
17,Illinois,17031230600,Cook,17031230600,2013-2017,27.70%
17,Illinois,17031230700,Cook,17031230700,2013-2017,40.80%
17,Illinois,17031230800,Cook,17031230800,2013-2017,39.80%
17,Illinois,17031230900,Cook,17031230900,2013-2017,28.80%
17,Illinois,17031231100,Cook,17031231100,2013-2017,34.90%
17,Illinois,17031231200,Cook,17031231200,2013-2017,19.60%
17,Illinois,17031231500,Cook,17031231500,2013-2017,15.20%
17,Illinois,17031240200,Cook,17031240200,2013-2017,24.10%
17,Illinois,17031240300,Cook,17031240300,2013-2017,33.00%
17,Illinois,17031240500,Cook,17031240500,2013-2017,19.30%
17,Illinois,17031240600,Cook,17031240600,2013-2017,15.30%
17,Illinois,17031240700,Cook,17031240700,2013-2017,23.10%
17,Illinois,17031240800,Cook,17031240800,2013-2017,27.70%
17,Illinois,17031240900,Cook,17031240900,2013-2017,34.50%
17,Illinois,17031241000,Cook,17031241000,2013-2017,16.60%
17,Illinois,17031241100,Cook,17031241100,2013-2017,27.80%
17,Illinois,17031241200,Cook,17031241200,2013-2017,23.10%
17,Illinois,17031241300,Cook,17031241300,2013-2017,18.90%
17,Illinois,17031241400,Cook,17031241400,2013-2017,30.50%
17,Illinois,17031241500,Cook,17031241500,2013-2017,22.20%
