stateFIPS,State,censusTract,Census Tract,Year,Value
17,Illinois,17031010400,"Cook County, IL - 17031010400",2013-2017,71.20%
17,Illinois,17031010501,"Cook County, IL - 17031010501",2013-2017,69.60%
17,Illinois,17031010502,"Cook County, IL - 17031010502",2013-2017,79.30%
17,Illinois,17031010503,"Cook County, IL - 17031010503",2013-2017,56.90%
17,Illinois,17031010600,"Cook County, IL - 17031010600",2013-2017,72.90%
17,Illinois,17031010701,"Cook County, IL - 17031010701",2013-2017,71.00%
17,Illinois,17031010702,"Cook County, IL - 17031010702",2013-2017,66.50%
17,Illinois,17031020100,"Cook County, IL - 17031020100",2013-2017,74.70%
17,Illinois,17031020200,"Cook County, IL - 17031020200",2013-2017,82.50%
17,Illinois,17031020301,"Cook County, IL - 17031020301",2013-2017,59.50%
17,Illinois,17031020302,"Cook County, IL - 17031020302",2013-2017,77.40%
17,Illinois,17031020400,"Cook County, IL - 17031020400",2013-2017,65.10%
17,Illinois,17031020500,"Cook County, IL - 17031020500",2013-2017,67.70%
17,Illinois,17031020601,"Cook County, IL - 17031020601",2013-2017,69.40%
17,Illinois,17031020602,"Cook County, IL - 17031020602",2013-2017,71.10%
17,Illinois,17031020701,"Cook County, IL - 17031020701",2013-2017,72.00%
17,Illinois,17031020702,"Cook County, IL - 17031020702",2013-2017,61.20%
17,Illinois,17031020801,"Cook County, IL - 17031020801",2013-2017,71.00%
17,Illinois,17031020802,"Cook County, IL - 17031020802",2013-2017,69.40%
17,Illinois,17031020901,"Cook County, IL - 17031020901",2013-2017,62.80%
17,Illinois,17031020902,"Cook County, IL - 17031020902",2013-2017,60.60%
17,Illinois,17031030101,"Cook County, IL - 17031030101",2013-2017,67.90%
17,Illinois,17031030102,"Cook County, IL - 17031030102",2013-2017,72.00%
17,Illinois,17031030103,"Cook County, IL - 17031030103",2013-2017,74.20%
17,Illinois,17031030104,"Cook County, IL - 17031030104",2013-2017,75.70%
17,Illinois,17031030200,"Cook County, IL - 17031030200",2013-2017,67.90%
17,Illinois,17031030300,"Cook County, IL - 17031030300",2013-2017,70.90%
17,Illinois,17031030400,"Cook County, IL - 17031030400",2013-2017,74.40%
17,Illinois,17031030500,"Cook County, IL - 17031030500",2013-2017,86.20%
17,Illinois,17031030601,"Cook County, IL - 17031030601",2013-2017,60.50%
17,Illinois,17031030603,"Cook County, IL - 17031030603",2013-2017,64.80%
17,Illinois,17031030604,"Cook County, IL - 17031030604",2013-2017,67.00%
17,Illinois,17031030701,"Cook County, IL - 17031030701",2013-2017,77.80%
17,Illinois,17031030702,"Cook County, IL - 17031030702",2013-2017,70.40%
17,Illinois,17031030703,"Cook County, IL - 17031030703",2013-2017,68.20%
17,Illinois,17031030706,"Cook County, IL - 17031030706",2013-2017,58.80%
17,Illinois,17031030800,"Cook County, IL - 17031030800",2013-2017,80.30%
17,Illinois,17031030900,"Cook County, IL - 17031030900",2013-2017,81.30%
17,Illinois,17031031000,"Cook County, IL - 17031031000",2013-2017,79.30%
17,Illinois,17031031100,"Cook County, IL - 17031031100",2013-2017,79.50%
17,Illinois,17031031200,"Cook County, IL - 17031031200",2013-2017,63.50%
17,Illinois,17031031300,"Cook County, IL - 17031031300",2013-2017,75.10%
17,Illinois,17031031400,"Cook County, IL - 17031031400",2013-2017,79.30%
17,Illinois,17031031501,"Cook County, IL - 17031031501",2013-2017,62.00%
17,Illinois,17031031502,"Cook County, IL - 17031031502",2013-2017,62.10%
17,Illinois,17031031700,"Cook County, IL - 17031031700",2013-2017,80.10%
17,Illinois,17031031800,"Cook County, IL - 17031031800",2013-2017,83.10%
17,Illinois,17031031900,"Cook County, IL - 17031031900",2013-2017,77.00%
17,Illinois,17031032100,"Cook County, IL - 17031032100",2013-2017,71.80%
17,Illinois,17031040100,"Cook County, IL - 17031040100",2013-2017,81.40%
17,Illinois,17031040201,"Cook County, IL - 17031040201",2013-2017,85.80%
17,Illinois,17031040202,"Cook County, IL - 17031040202",2013-2017,72.90%
17,Illinois,17031040300,"Cook County, IL - 17031040300",2013-2017,80.40%
17,Illinois,17031040401,"Cook County, IL - 17031040401",2013-2017,84.80%
17,Illinois,17031040402,"Cook County, IL - 17031040402",2013-2017,92.00%
17,Illinois,17031040600,"Cook County, IL - 17031040600",2013-2017,88.20%
17,Illinois,17031040700,"Cook County, IL - 17031040700",2013-2017,81.80%
17,Illinois,17031040800,"Cook County, IL - 17031040800",2013-2017,84.30%
17,Illinois,17031040900,"Cook County, IL - 17031040900",2013-2017,79.20%
17,Illinois,17031050100,"Cook County, IL - 17031050100",2013-2017,82.70%
17,Illinois,17031050200,"Cook County, IL - 17031050200",2013-2017,77.70%
17,Illinois,17031050300,"Cook County, IL - 17031050300",2013-2017,80.60%
17,Illinois,17031050500,"Cook County, IL - 17031050500",2013-2017,81.50%
17,Illinois,17031050600,"Cook County, IL - 17031050600",2013-2017,96.00%
17,Illinois,17031050700,"Cook County, IL - 17031050700",2013-2017,89.30%
17,Illinois,17031050800,"Cook County, IL - 17031050800",2013-2017,83.50%
17,Illinois,17031050900,"Cook County, IL - 17031050900",2013-2017,88.10%
17,Illinois,17031051000,"Cook County, IL - 17031051000",2013-2017,84.50%
17,Illinois,17031051100,"Cook County, IL - 17031051100",2013-2017,85.20%
17,Illinois,17031051200,"Cook County, IL - 17031051200",2013-2017,86.60%
17,Illinois,17031051300,"Cook County, IL - 17031051300",2013-2017,84.70%
17,Illinois,17031051400,"Cook County, IL - 17031051400",2013-2017,83.90%
17,Illinois,17031060100,"Cook County, IL - 17031060100",2013-2017,90.00%
17,Illinois,17031060200,"Cook County, IL - 17031060200",2013-2017,82.40%
17,Illinois,17031060300,"Cook County, IL - 17031060300",2013-2017,87.10%
17,Illinois,17031060400,"Cook County, IL - 17031060400",2013-2017,90.70%
17,Illinois,17031060500,"Cook County, IL - 17031060500",2013-2017,55.00%
17,Illinois,17031060800,"Cook County, IL - 17031060800",2013-2017,85.60%
17,Illinois,17031060900,"Cook County, IL - 17031060900",2013-2017,84.10%
17,Illinois,17031061000,"Cook County, IL - 17031061000",2013-2017,85.80%
17,Illinois,17031061100,"Cook County, IL - 17031061100",2013-2017,91.80%
17,Illinois,17031061200,"Cook County, IL - 17031061200",2013-2017,89.90%
17,Illinois,17031061500,"Cook County, IL - 17031061500",2013-2017,90.00%
17,Illinois,17031061800,"Cook County, IL - 17031061800",2013-2017,87.60%
17,Illinois,17031061901,"Cook County, IL - 17031061901",2013-2017,77.60%
17,Illinois,17031061902,"Cook County, IL - 17031061902",2013-2017,72.60%
17,Illinois,17031062000,"Cook County, IL - 17031062000",2013-2017,81.20%
17,Illinois,17031062100,"Cook County, IL - 17031062100",2013-2017,80.40%
17,Illinois,17031062200,"Cook County, IL - 17031062200",2013-2017,84.20%
17,Illinois,17031062300,"Cook County, IL - 17031062300",2013-2017,89.30%
17,Illinois,17031062400,"Cook County, IL - 17031062400",2013-2017,77.80%
17,Illinois,17031062500,"Cook County, IL - 17031062500",2013-2017,87.30%
17,Illinois,17031062600,"Cook County, IL - 17031062600",2013-2017,84.20%
17,Illinois,17031062700,"Cook County, IL - 17031062700",2013-2017,79.60%
17,Illinois,17031062800,"Cook County, IL - 17031062800",2013-2017,88.40%
17,Illinois,17031062900,"Cook County, IL - 17031062900",2013-2017,90.90%
17,Illinois,17031063000,"Cook County, IL - 17031063000",2013-2017,91.50%
17,Illinois,17031063100,"Cook County, IL - 17031063100",2013-2017,87.10%
17,Illinois,17031063200,"Cook County, IL - 17031063200",2013-2017,86.20%
17,Illinois,17031063301,"Cook County, IL - 17031063301",2013-2017,74.10%
17,Illinois,17031063302,"Cook County, IL - 17031063302",2013-2017,85.40%
17,Illinois,17031063303,"Cook County, IL - 17031063303",2013-2017,53.80%
17,Illinois,17031063400,"Cook County, IL - 17031063400",2013-2017,89.10%
17,Illinois,17031070101,"Cook County, IL - 17031070101",2013-2017,83.30%
17,Illinois,17031070102,"Cook County, IL - 17031070102",2013-2017,87.50%
17,Illinois,17031070103,"Cook County, IL - 17031070103",2013-2017,72.20%
17,Illinois,17031070200,"Cook County, IL - 17031070200",2013-2017,84.30%
17,Illinois,17031070300,"Cook County, IL - 17031070300",2013-2017,85.10%
17,Illinois,17031070400,"Cook County, IL - 17031070400",2013-2017,63.80%
17,Illinois,17031070500,"Cook County, IL - 17031070500",2013-2017,79.40%
17,Illinois,17031070600,"Cook County, IL - 17031070600",2013-2017,89.70%
17,Illinois,17031070700,"Cook County, IL - 17031070700",2013-2017,74.70%
17,Illinois,17031071000,"Cook County, IL - 17031071000",2013-2017,85.70%
17,Illinois,17031071100,"Cook County, IL - 17031071100",2013-2017,81.80%
17,Illinois,17031071200,"Cook County, IL - 17031071200",2013-2017,76.80%
17,Illinois,17031071300,"Cook County, IL - 17031071300",2013-2017,82.00%
17,Illinois,17031071400,"Cook County, IL - 17031071400",2013-2017,74.60%
17,Illinois,17031071500,"Cook County, IL - 17031071500",2013-2017,85.50%
17,Illinois,17031071600,"Cook County, IL - 17031071600",2013-2017,79.40%
17,Illinois,17031071700,"Cook County, IL - 17031071700",2013-2017,87.60%
17,Illinois,17031071800,"Cook County, IL - 17031071800",2013-2017,76.20%
17,Illinois,17031080100,"Cook County, IL - 17031080100",2013-2017,88.00%
17,Illinois,17031080201,"Cook County, IL - 17031080201",2013-2017,85.30%
17,Illinois,17031080202,"Cook County, IL - 17031080202",2013-2017,88.10%
17,Illinois,17031080300,"Cook County, IL - 17031080300",2013-2017,89.80%
17,Illinois,17031080400,"Cook County, IL - 17031080400",2013-2017,77.80%
17,Illinois,17031081000,"Cook County, IL - 17031081000",2013-2017,74.40%
17,Illinois,17031081100,"Cook County, IL - 17031081100",2013-2017,79.70%
17,Illinois,17031081201,"Cook County, IL - 17031081201",2013-2017,91.60%
17,Illinois,17031081202,"Cook County, IL - 17031081202",2013-2017,81.90%
17,Illinois,17031081300,"Cook County, IL - 17031081300",2013-2017,80.90%
17,Illinois,17031081401,"Cook County, IL - 17031081401",2013-2017,77.70%
17,Illinois,17031081402,"Cook County, IL - 17031081402",2013-2017,86.90%
17,Illinois,17031081403,"Cook County, IL - 17031081403",2013-2017,94.50%
17,Illinois,17031081500,"Cook County, IL - 17031081500",2013-2017,91.90%
17,Illinois,17031081600,"Cook County, IL - 17031081600",2013-2017,92.90%
17,Illinois,17031081700,"Cook County, IL - 17031081700",2013-2017,89.80%
17,Illinois,17031081800,"Cook County, IL - 17031081800",2013-2017,94.40%
17,Illinois,17031081900,"Cook County, IL - 17031081900",2013-2017,81.80%
17,Illinois,17031090100,"Cook County, IL - 17031090100",2013-2017,67.20%
17,Illinois,17031090200,"Cook County, IL - 17031090200",2013-2017,73.80%
17,Illinois,17031090300,"Cook County, IL - 17031090300",2013-2017,75.50%
17,Illinois,17031100100,"Cook County, IL - 17031100100",2013-2017,72.20%
17,Illinois,17031100200,"Cook County, IL - 17031100200",2013-2017,65.80%
17,Illinois,17031100300,"Cook County, IL - 17031100300",2013-2017,53.90%
17,Illinois,17031100400,"Cook County, IL - 17031100400",2013-2017,66.10%
17,Illinois,17031100500,"Cook County, IL - 17031100500",2013-2017,64.20%
17,Illinois,17031100600,"Cook County, IL - 17031100600",2013-2017,68.40%
17,Illinois,17031100700,"Cook County, IL - 17031100700",2013-2017,67.30%
17,Illinois,17031110100,"Cook County, IL - 17031110100",2013-2017,70.10%
17,Illinois,17031110200,"Cook County, IL - 17031110200",2013-2017,66.60%
17,Illinois,17031110300,"Cook County, IL - 17031110300",2013-2017,68.90%
17,Illinois,17031110400,"Cook County, IL - 17031110400",2013-2017,74.10%
17,Illinois,17031110501,"Cook County, IL - 17031110501",2013-2017,77.80%
17,Illinois,17031110502,"Cook County, IL - 17031110502",2013-2017,73.10%
17,Illinois,17031120100,"Cook County, IL - 17031120100",2013-2017,78.70%
17,Illinois,17031120200,"Cook County, IL - 17031120200",2013-2017,75.60%
17,Illinois,17031120300,"Cook County, IL - 17031120300",2013-2017,78.70%
17,Illinois,17031120400,"Cook County, IL - 17031120400",2013-2017,74.40%
17,Illinois,17031130100,"Cook County, IL - 17031130100",2013-2017,61.20%
17,Illinois,17031130200,"Cook County, IL - 17031130200",2013-2017,68.70%
17,Illinois,17031130300,"Cook County, IL - 17031130300",2013-2017,82.10%
17,Illinois,17031140100,"Cook County, IL - 17031140100",2013-2017,74.20%
17,Illinois,17031140200,"Cook County, IL - 17031140200",2013-2017,76.70%
17,Illinois,17031140301,"Cook County, IL - 17031140301",2013-2017,60.50%
17,Illinois,17031140302,"Cook County, IL - 17031140302",2013-2017,69.90%
17,Illinois,17031140400,"Cook County, IL - 17031140400",2013-2017,75.10%
17,Illinois,17031140500,"Cook County, IL - 17031140500",2013-2017,79.00%
17,Illinois,17031140601,"Cook County, IL - 17031140601",2013-2017,72.00%
17,Illinois,17031140602,"Cook County, IL - 17031140602",2013-2017,62.70%
17,Illinois,17031140701,"Cook County, IL - 17031140701",2013-2017,77.80%
17,Illinois,17031140702,"Cook County, IL - 17031140702",2013-2017,67.30%
17,Illinois,17031140800,"Cook County, IL - 17031140800",2013-2017,74.80%
17,Illinois,17031150200,"Cook County, IL - 17031150200",2013-2017,76.20%
17,Illinois,17031150300,"Cook County, IL - 17031150300",2013-2017,72.80%
17,Illinois,17031150401,"Cook County, IL - 17031150401",2013-2017,76.10%
17,Illinois,17031150402,"Cook County, IL - 17031150402",2013-2017,76.50%
17,Illinois,17031150501,"Cook County, IL - 17031150501",2013-2017,71.90%
17,Illinois,17031150502,"Cook County, IL - 17031150502",2013-2017,69.60%
17,Illinois,17031150600,"Cook County, IL - 17031150600",2013-2017,78.80%
17,Illinois,17031150700,"Cook County, IL - 17031150700",2013-2017,72.50%
17,Illinois,17031150800,"Cook County, IL - 17031150800",2013-2017,66.00%
17,Illinois,17031151001,"Cook County, IL - 17031151001",2013-2017,61.50%
17,Illinois,17031151002,"Cook County, IL - 17031151002",2013-2017,69.80%
17,Illinois,17031151100,"Cook County, IL - 17031151100",2013-2017,65.20%
17,Illinois,17031151200,"Cook County, IL - 17031151200",2013-2017,63.20%
17,Illinois,17031160100,"Cook County, IL - 17031160100",2013-2017,69.80%
17,Illinois,17031160200,"Cook County, IL - 17031160200",2013-2017,72.80%
17,Illinois,17031160300,"Cook County, IL - 17031160300",2013-2017,66.00%
17,Illinois,17031160400,"Cook County, IL - 17031160400",2013-2017,76.10%
17,Illinois,17031160501,"Cook County, IL - 17031160501",2013-2017,69.80%
17,Illinois,17031160502,"Cook County, IL - 17031160502",2013-2017,80.70%
17,Illinois,17031160601,"Cook County, IL - 17031160601",2013-2017,78.40%
17,Illinois,17031160602,"Cook County, IL - 17031160602",2013-2017,78.90%
17,Illinois,17031160700,"Cook County, IL - 17031160700",2013-2017,72.00%
17,Illinois,17031160800,"Cook County, IL - 17031160800",2013-2017,75.30%
17,Illinois,17031160900,"Cook County, IL - 17031160900",2013-2017,79.70%
17,Illinois,17031161000,"Cook County, IL - 17031161000",2013-2017,75.00%
17,Illinois,17031161100,"Cook County, IL - 17031161100",2013-2017,70.50%
17,Illinois,17031161200,"Cook County, IL - 17031161200",2013-2017,70.80%
17,Illinois,17031161300,"Cook County, IL - 17031161300",2013-2017,66.90%
17,Illinois,17031170100,"Cook County, IL - 17031170100",2013-2017,44.00%
17,Illinois,17031170200,"Cook County, IL - 17031170200",2013-2017,66.30%
17,Illinois,17031170300,"Cook County, IL - 17031170300",2013-2017,65.60%
17,Illinois,17031170400,"Cook County, IL - 17031170400",2013-2017,55.80%
17,Illinois,17031170500,"Cook County, IL - 17031170500",2013-2017,65.80%
17,Illinois,17031170600,"Cook County, IL - 17031170600",2013-2017,68.00%
17,Illinois,17031170700,"Cook County, IL - 17031170700",2013-2017,69.40%
17,Illinois,17031170800,"Cook County, IL - 17031170800",2013-2017,56.70%
17,Illinois,17031170900,"Cook County, IL - 17031170900",2013-2017,53.80%
17,Illinois,17031171000,"Cook County, IL - 17031171000",2013-2017,63.60%
17,Illinois,17031171100,"Cook County, IL - 17031171100",2013-2017,72.90%
17,Illinois,17031180100,"Cook County, IL - 17031180100",2013-2017,71.60%
17,Illinois,17031190100,"Cook County, IL - 17031190100",2013-2017,60.10%
17,Illinois,17031190200,"Cook County, IL - 17031190200",2013-2017,70.80%
17,Illinois,17031190300,"Cook County, IL - 17031190300",2013-2017,58.00%
17,Illinois,17031190401,"Cook County, IL - 17031190401",2013-2017,55.00%
17,Illinois,17031190402,"Cook County, IL - 17031190402",2013-2017,62.80%
17,Illinois,17031190601,"Cook County, IL - 17031190601",2013-2017,71.70%
17,Illinois,17031190602,"Cook County, IL - 17031190602",2013-2017,65.40%
17,Illinois,17031190701,"Cook County, IL - 17031190701",2013-2017,74.40%
17,Illinois,17031190702,"Cook County, IL - 17031190702",2013-2017,59.80%
